id,sku,name,status,price,regular_price,categories,short_description,description,vf_segment,vf_product_group,vf_motorbike_line,vf_data_source
57,VF3,"VinFast VF 3",publish,299000000,299000000,"O to dien VinFast","Xe điện nhỏ gọn cho di chuyển trong thành phố, chi phí sở hữu hợp lý và dễ sử dụng mỗi ngày.","Xe điện nhỏ gọn cho di chuyển trong thành phố, chi phí sở hữu hợp lý và dễ sử dụng mỗi ngày.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","Mini SUV đô thị",,,
58,VF5,"VinFast VF 5",publish,529000000,529000000,"O to dien VinFast","SUV điện trẻ trung, phù hợp gia đình nhỏ và nhu cầu di chuyển linh hoạt.","SUV điện trẻ trung, phù hợp gia đình nhỏ và nhu cầu di chuyển linh hoạt.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","SUV hạng A",,,
59,VF6,"VinFast VF 6",publish,675000000,675000000,"O to dien VinFast","Cân bằng giữa kích thước, công nghệ an toàn và khả năng vận hành điện êm ái.","Cân bằng giữa kích thước, công nghệ an toàn và khả năng vận hành điện êm ái.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","SUV hạng B",,,
60,VF7,"VinFast VF 7",publish,850000000,850000000,"O to dien VinFast","Thiết kế thể thao, khoang lái hiện đại và nhiều tính năng hỗ trợ người lái.","Thiết kế thể thao, khoang lái hiện đại và nhiều tính năng hỗ trợ người lái.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","SUV hạng C",,,
61,VF8,"VinFast VF 8",publish,1079000000,1079000000,"O to dien VinFast","SUV điện tầm trung cho gia đình, nội thất rộng và khả năng đi đường dài tốt.","SUV điện tầm trung cho gia đình, nội thất rộng và khả năng đi đường dài tốt.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","SUV hạng D",,,
62,VF9,"VinFast VF 9",publish,1499000000,1499000000,"O to dien VinFast","SUV điện 7 chỗ cao cấp, tập trung vào không gian, tiện nghi và sự thoải mái.","SUV điện 7 chỗ cao cấp, tập trung vào không gian, tiện nghi và sự thoải mái.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","SUV 7 chỗ",,,
63,VFMPV7,"VinFast VF MPV 7",publish,819000000,819000000,"O to dien VinFast","MPV điện 7 chỗ, phù hợp dịch vụ vận chuyển và gia đình cần không gian linh hoạt.","MPV điện 7 chỗ, phù hợp dịch vụ vận chuyển và gia đình cần không gian linh hoạt.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","MPV 7 chỗ",,,
111,VFM-AMIO,"Xe máy điện VinFast Amio",publish,13900000,13900000,"Xe máy điện","Màn hình LED color hiện đại, cốp xe rộng rãi và phanh cơ an toàn cho nhu cầu đi học, đi làm hằng ngày.","VinFast Amio là mẫu xe máy điện học sinh có thiết kế gọn, màn hình hiển thị rõ ràng, cốp rộng và vị trí pin dưới sàn để chân giúp tư thế ngồi thoải mái.","Xe máy điện học sinh",xe-may-dien,"Phổ thông",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
112,VFM-ZGOO,"Xe máy điện VinFast ZGoo",publish,15900000,15900000,"Xe máy điện","Đồng hồ kỹ thuật số HMI LED Color, cốp 14L và đèn pha LED Projector hỗ trợ di chuyển an toàn.","VinFast ZGoo phù hợp học sinh và người dùng đô thị với cốp rộng, sàn để chân thoáng và hệ thống giảm xóc thủy lực cho cảm giác đi êm.","Xe máy điện học sinh",xe-may-dien,"Phổ thông",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
113,VFM-FLAZZ,"Xe máy điện VinFast FLazz",publish,16900000,16900000,"Xe máy điện","Thiết kế trẻ trung, màn hình HMI LED Color, cốp rộng 14L và đèn pha LED Projector.","VinFast FLazz là lựa chọn xe máy điện phổ thông với khả năng vận hành êm, sàn để chân rộng và hệ thống giảm xóc hỗ trợ nhiều địa hình.","Xe máy điện học sinh",xe-may-dien,"Phổ thông",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
114,VFM-EVO-LITE,"Xe máy điện VinFast Evo Lite",publish,17000000,17000000,"Xe máy điện","Hệ thống đèn Full LED, cốp 12L khi lắp 2 pin và sàn để chân rộng thoáng.","VinFast Evo Lite hướng tới người dùng học sinh với thiết kế dễ sử dụng, vận hành êm ái và hệ thống giảm xóc thủy lực hỗ trợ di chuyển hằng ngày.","Xe máy điện học sinh",xe-may-dien,"Phổ thông",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
115,VFM-EVO-NEO,"Xe máy điện VinFast Evo Neo",publish,17800000,17800000,"Xe máy điện","Hành trình mới, phong cách mới, phù hợp khách hàng cần xe máy điện dễ tiếp cận.","VinFast Evo Neo là mẫu xe máy điện phong cách trẻ, phù hợp di chuyển đô thị và nhu cầu sử dụng linh hoạt trong ngày.","Xe máy điện cá tính",xe-may-dien,"Phổ thông",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
116,VFM-EVO,"Xe máy điện VinFast Evo",publish,19990000,19990000,"Xe máy điện","Mẫu Evo bền bỉ mọi hành trình, thiết kế hiện đại và chi phí sử dụng hợp lý.","VinFast Evo phù hợp người dùng cần xe máy điện phổ thông có kiểu dáng gọn, dễ vận hành và phục vụ tốt nhu cầu đi lại hằng ngày.","Xe máy điện cá tính",xe-may-dien,"Phổ thông",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
117,VFM-EVOGRAND,"Xe máy điện VinFast EvoGrand",publish,22800000,22800000,"Xe máy điện","EvoGrand chinh phục mọi hành trình với thiết kế rộng rãi và tính tiện dụng cao.","VinFast EvoGrand là lựa chọn xe máy điện phổ thông với dáng xe cân đối, phù hợp người dùng cần sự thoải mái hơn trong di chuyển hằng ngày.","Xe máy điện cá tính",xe-may-dien,"Phổ thông",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
118,VFM-FELIZ-II,"Xe máy điện VinFast Feliz II",publish,24900000,24900000,"Xe máy điện","Feliz II có phong cách sành điệu, phù hợp khách hàng muốn xe điện đô thị hiện đại hơn.","VinFast Feliz II mang thiết kế thanh lịch, vận hành điện êm và phù hợp người dùng cần phương tiện di chuyển thời trang trong thành phố.","Xe máy điện cá tính",xe-may-dien,"Trung cấp",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
119,VFM-FELIZ-2025,"Xe máy điện VinFast Feliz 2025",publish,26900000,26900000,"Xe máy điện","Feliz 2025 mới với thiết kế cân bằng giữa tiện dụng, phong cách và chi phí vận hành.","VinFast Feliz 2025 phù hợp khách hàng cần xe máy điện trung cấp, dáng scooter thanh lịch và trải nghiệm sử dụng ổn định.","Xe máy điện cá tính",xe-may-dien,"Trung cấp",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
120,VFM-VERO-X-2025,"Xe máy điện VinFast Vero X 2025",publish,34900000,34900000,"Xe máy điện","Vero X 2025 là xe máy điện 02 pin, hướng tới trải nghiệm cao cấp và linh hoạt hơn.","VinFast Vero X 2025 thuộc nhóm xe máy điện cao cấp, phù hợp người dùng cần thiết kế nổi bật và khả năng vận hành tự tin hơn.","Xe máy điện cá tính",xe-may-dien,"Cao cấp",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
91,VF-ACC-HOME-CHARGER-7KW,"Bộ sạc treo tường VinFast 7kW",publish,15900000,15900000,"Phụ kiện","Bộ sạc treo tường tại nhà, hỗ trợ sạc xe điện tiện lợi và ổn định.","Phụ kiện phù hợp khách hàng muốn chủ động sạc xe tại nhà với thiết kế gọn gàng và dễ sử dụng.","Phụ kiện sạc",phu-kien,,
121,VFM-VIPER,"Xe máy điện VinFast Viper",publish,39900000,39900000,"Xe máy điện","Viper bản lĩnh tiên phong, thiết kế mạnh mẽ và hướng tới nhóm khách hàng cá tính.","VinFast Viper là mẫu xe máy điện cao cấp với phong cách thể thao, phù hợp người dùng muốn một sản phẩm nổi bật hơn trong đô thị.","Xe máy điện cá tính",xe-may-dien,"Cao cấp",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
92,VF-ACC-PORTABLE-CHARGER,"Bộ sạc di động VinFast",publish,6900000,6900000,"Phụ kiện","Bộ sạc di động giúp tăng tính linh hoạt khi sử dụng xe điện.","Sạc di động phù hợp để mang theo trong các hành trình cần phương án sạc dự phòng.","Phụ kiện sạc",phu-kien,,
93,VF-ACC-TYPE2-CABLE,"Cáp sạc Type 2 VinFast",publish,4500000,4500000,"Phụ kiện","Cáp sạc Type 2 dùng cho xe điện VinFast tại các điểm sạc phù hợp.","Sản phẩm hỗ trợ kết nối sạc an toàn, thuận tiện và dễ cất trong khoang hành lý.","Phụ kiện sạc",phu-kien,,
94,VF-ACC-WALLBOX-MOUNT,"Giá treo Wallbox VinFast",publish,1200000,1200000,"Phụ kiện","Giá treo giúp khu vực sạc gọn gàng và chuyên nghiệp hơn.","Phụ kiện lắp đặt cho khu vực sạc tại nhà, giúp cố định thiết bị và dây sạc.","Phụ kiện sạc",phu-kien,,
95,VF-ACC-FLOOR-MATS,"Thảm sàn VinFast cao cấp",publish,1800000,1800000,"Phụ kiện","Thảm sàn bảo vệ nội thất, dễ vệ sinh và phù hợp nhiều dòng xe VinFast.","Thảm sàn giúp giữ khoang xe sạch, giảm bám bẩn và tạo cảm giác sử dụng chỉn chu hơn.","Phụ kiện nội thất",phu-kien,,
96,VF-ACC-TRUNK-TRAY,"Khay cốp VinFast chống tràn",publish,1450000,1450000,"Phụ kiện","Khay cốp chống tràn, bảo vệ khoang hành lý khi chở đồ hằng ngày.","Khay cốp phù hợp gia đình thường xuyên chở hành lý, đồ thể thao hoặc vật dụng dễ bám bẩn.","Phụ kiện nội thất",phu-kien,,
97,VF-ACC-DASHCAM,"Camera hành trình VinFast",publish,3900000,3900000,"Phụ kiện","Camera hành trình hỗ trợ ghi lại lộ trình và tăng an tâm khi di chuyển.","Phụ kiện hữu ích cho người dùng thường xuyên đi xa hoặc cần lưu lại dữ liệu hành trình.","Phụ kiện an toàn",phu-kien,,
98,VF-ACC-TIRE-PUMP,"Bơm lốp điện tử VinFast",publish,950000,950000,"Phụ kiện","Bơm lốp điện tử nhỏ gọn, hỗ trợ kiểm tra và bơm lốp nhanh chóng.","Sản phẩm tiện ích nên có trên xe, phù hợp xử lý các tình huống áp suất lốp thấp.","Phụ kiện tiện ích",phu-kien,,
99,VF-ACC-BATTERY-PACK,"Pin dự phòng phụ kiện VinFast",publish,1250000,1250000,"Phụ kiện","Pin dự phòng cho thiết bị cá nhân khi di chuyển cùng xe.","Phụ kiện giúp duy trì năng lượng cho điện thoại, tai nghe và thiết bị cá nhân trên hành trình.","Phụ kiện tiện ích",phu-kien,,
100,VF-ACC-HELMET,"Mũ bảo hiểm VinFast",publish,650000,650000,"Phụ kiện","Mũ bảo hiểm phong cách VinFast, phù hợp người dùng xe máy điện.","Mũ bảo hiểm có thiết kế gọn, dễ sử dụng và đồng bộ với phong cách xe máy điện VinFast.","Phụ kiện xe máy",phu-kien,,
101,VFC-VFE34,"VinFast VF e34 2026",publish,550000000,550000000,"Ô tô điện","Mẫu SUV điện đô thị, phù hợp gia đình nhỏ và nhu cầu di chuyển hằng ngày.","VF e34 là lựa chọn xe điện thực tế với chi phí hợp lý, khoang xe 5 chỗ và thiết kế thân thiện cho đô thị.","Ô tô điện",o-to-dien,,
102,VFC-VF3-PLUS,"VinFast VF 3 Plus 2026",publish,315000000,315000000,"Ô tô điện","Xe điện mini cá tính, dễ xoay trở và phù hợp đường phố đông đúc.","VF 3 Plus hướng tới người dùng trẻ, gia đình nhỏ hoặc khách hàng cần chiếc xe điện đô thị dễ sở hữu.","Ô tô điện đô thị",o-to-dien,,
103,VFC-VF5-PLUS,"VinFast VF 5 Plus 2026",publish,468000000,468000000,"Ô tô điện","SUV điện 5 chỗ nhỏ gọn, cân bằng giữa chi phí và tiện dụng.","VF 5 Plus phù hợp khách hàng mua xe điện lần đầu, cần một mẫu SUV gọn, dễ dùng và tiết kiệm.","SUV điện",o-to-dien,,
104,VFC-VF6-ECO,"VinFast VF 6 Eco 2026",publish,675000000,675000000,"Ô tô điện","SUV điện hạng B với không gian 5 chỗ và thiết kế hiện đại.","VF 6 Eco phù hợp gia đình trẻ, cân bằng giữa trải nghiệm xe điện và chi phí sở hữu.","SUV điện",o-to-dien,,
105,VFC-VF6-PLUS,"VinFast VF 6 Plus 2026",publish,765000000,765000000,"Ô tô điện","Phiên bản nâng cấp của VF 6 với trang bị tiện nghi hơn.","VF 6 Plus dành cho khách hàng muốn thêm tiện nghi và cảm giác sử dụng cao cấp trong phân khúc SUV điện hạng B.","SUV điện",o-to-dien,,
106,VFC-VF7-ECO,"VinFast VF 7 Eco 2026",publish,850000000,850000000,"Ô tô điện","SUV điện phong cách thể thao, phù hợp khách hàng thích thiết kế mạnh mẽ.","VF 7 Eco có kiểu dáng nổi bật và không gian phù hợp cho nhu cầu cá nhân, gia đình và công việc.","SUV điện",o-to-dien,,
107,VFC-VF7-PLUS,"VinFast VF 7 Plus 2026",publish,999000000,999000000,"Ô tô điện","VF 7 Plus tăng cường trang bị, hướng tới trải nghiệm lái giàu cảm xúc hơn.","Phiên bản Plus phù hợp người dùng muốn một mẫu SUV điện có cá tính mạnh và nhiều tiện nghi.","SUV điện",o-to-dien,,
108,VFC-VF8-ECO,"VinFast VF 8 Eco 2026",publish,1099000000,1099000000,"Ô tô điện","SUV điện hạng D, phù hợp gia đình cần không gian rộng và di chuyển đường dài.","VF 8 Eco mang lại trải nghiệm xe điện cao cấp hơn với khoang xe rộng, vận hành êm và nhiều công nghệ hỗ trợ.","SUV điện cao cấp",o-to-dien,,
109,VFC-VF8-PLUS,"VinFast VF 8 Plus 2026",publish,1299000000,1299000000,"Ô tô điện","Phiên bản VF 8 nhiều trang bị hơn, tối ưu cho gia đình và hành trình dài.","VF 8 Plus phù hợp khách hàng muốn trải nghiệm SUV điện mạnh mẽ, tiện nghi và hiện đại.","SUV điện cao cấp",o-to-dien,,
110,VFC-VF9-PLUS,"VinFast VF 9 Plus 2026",publish,1650000000,1650000000,"Ô tô điện","SUV điện cỡ lớn 6-7 chỗ, phù hợp gia đình đông người và nhu cầu cao cấp.","VF 9 Plus là lựa chọn rộng rãi cho gia đình lớn, hành trình dài và khách hàng cần nhiều tiện nghi.","SUV điện 7 chỗ",o-to-dien,,
